year,lat,long,catch,weight
2017,52.08166667,54.37166667,0,0
2017,51.7,54.08333333,0,0
2017,51.65,54.13666667,0,0
2017,51.60166667,54.295,0,0
2017,51.49666667,54.64666667,0,0
2017,51.43333333,54.66166667,0,0
2017,51.32666667,54.69,0,0
2017,51.33833333,55.215,0,0
2017,51.33,54.97833333,0,0
2017,51.24166667,54.87333333,0,0
2017,51.26166667,54.84333333,0,0
2017,51.82666667,54.935,0,0
2017,52.08,53.62166667,0,0
2017,52.01333333,53.35666667,1,0.12
2017,51.94333333,52.94333333,0,0
2017,52.18333333,52.66666667,3.428571429,1.76
2017,52.09833333,52.565,4.571428571,4.342857143
2017,52.075,52.32,3,2.28
2017,52.16,51.91166667,5,2.42
2017,52.20333333,50.87,0,0
2017,52.11,50.7,0,0
2017,52.05,50.845,2.285714286,1.645714286
2017,51.99833333,50.71333333,0,0
2017,51.75833333,50.53333333,5.333333333,2.333333333
2017,51.71166667,50.44333333,0,0
2017,51.39166667,49.90666667,0,0
2017,51.34833333,49.93833333,0,0
2017,51.09166667,50.20333333,0,0
2017,50.91833333,49.56166667,0,0
2017,50.49,49.73833333,0,0
2017,50.64166667,50.08666667,0,0
2017,50.55666667,50.235,0,0
2017,50.69166667,50.295,0,0
2017,50.865,50.49333333,0,0
2017,50.97666667,50.53833333,4,2.986666667
2017,51.37166667,50.57166667,3.428571429,1.851428571
2017,51.36166667,50.79833333,0,0
2017,51.31166667,50.97333333,2,0.82
2017,51.34666667,51.16666667,3,1.86
2017,51.56666667,51.09833333,2.285714286,2.537142857
2017,51.655,51.135,3,2.3
2017,51.77,51.07333333,6.666666667,1.946666667
2017,51.83,51.36166667,2.285714286,0.742857143
2017,51.88833333,51.30333333,2,0.9
2017,52.09833333,51.275,22,8.62
2017,52.29166667,50.87666667,0,0
2017,52.32666667,51.035,0,0
2017,52.43666667,51.10333333,0,0
2017,52.41666667,51.45166667,6.857142857,2.662857143
2017,52.51833333,51.445,5,2.52
2017,52.62166667,51.42833333,0,0
2017,52.79666667,51.67833333,1.333333333,0.36
2017,52.845,51.835,5.333333333,3.853333333
2017,52.95166667,51.97833333,19,12.54
2017,53.07833333,52.03166667,10,5.64
2017,53.19833333,52.045,0,0
2017,53.11833333,52.30166667,4,1.373333333
2017,53.125,52.46666667,8,3.931428571
2017,53.17,52.85333333,4,2.43
2017,53.00166667,53.145,9,5.73
2017,52.87666667,53.42833333,35,19.26
2017,52.59666667,54.82833333,0,0
2017,52.67,54.74833333,0,0
2017,52.62,54.11333333,0,0
2017,52.655,54.05333333,0,0
2017,52.8,54.03833333,0,0
2017,52.995,54.14,0,0
2017,53.15833333,54.32166667,0,0
2017,53.01166667,54.10833333,0,0
2017,53.05166667,53.98666667,5,2.24
2017,53.20833333,53.44333333,41,28.09
2017,53.43333333,52.92,3,1.9
2017,53.715,52.78666667,0,0
2017,53.62333333,52.22666667,0,0
2017,53.96666667,52.61166667,0,0
2017,53.885,52.65666667,0,0
2017,53.88166667,52.82333333,0,0
2017,54.02333333,53.16333333,1,0.22
2017,54.00833333,52.95,0,0
2017,54.025,52.86166667,1.333333333,1.066666667
2017,54.205,53.04166667,3.428571429,1.062857143
2017,54.30666667,52.87166667,0,0
2017,54.33,53.07666667,0,0
2017,54.435,53.08833333,0,0
2017,54.62333333,53.04333333,0,0
2017,54.70833333,53.5,0,0
2017,54.68,53.56833333,0,0
2017,54.64833333,53.41833333,0,0
2017,54.735,53.29666667,1,0.44
2017,54.62,52.86666667,0,0
2017,54.68333333,53.07666667,0,0
2017,54.81,53.28,0,0
2017,54.88833333,53.40666667,0,0
2017,55.07,53.71666667,0,0
2017,54.88333333,54.04333333,1.333333333,0.4
2017,54.79166667,54.50166667,0,0
2017,54.90833333,54.90166667,0,0
2017,54.71333333,55.33166667,0,0
2017,54.56333333,55.24833333,0,0
2017,54.61833333,54.61,0,0
2017,54.50833333,54.57166667,0,0
2017,54.44166667,53.77166667,0,0
2017,54.15333333,53.59333333,0,0
2017,54.14166667,53.95666667,0,0
2017,53.785,53.295,0,0
2017,53.77,53.43333333,0,0
2017,53.89833333,53.745,0,0
2017,53.91166667,54.01833333,0,0
2017,53.90833333,54.85333333,0,0
2017,53.79,54.50833333,0,0
2017,53.77666667,54.17666667,0,0
2017,53.74333333,54.17666667,0,0
2017,52.59166667,52.93833333,0,0
2017,52.54,52.62833333,2.666666667,2.813333333
2017,52.75333333,52.57,3,2.19
2017,52.69833333,52.33,4,2.73
2017,52.63666667,52.17333333,3,2.41
2017,52.66,52.06,2,1.32
2017,52.62666667,51.92166667,1,0.18
2017,52.58666667,51.92166667,1,0.51
2017,51.89166667,51.91833333,2,1.23
2017,51.60333333,51.97333333,3,0.46
2017,51.13,51.76166667,0,0
2017,50.70333333,51.59833333,0,0
2017,49.26666667,49.65333333,0,0
2017,49.77833333,49.49333333,0,0
2017,49.87333333,49.46666667,0,0
2017,49.93,49.61833333,0,0
2017,49.94666667,49.91,0,0
2017,50.235,50.33833333,0,0
2017,50.375,50.47666667,0,0
2017,50.56333333,50.75333333,34,19.81
2017,50.675,50.64166667,17,11.99
2017,50.78333333,50.605,8,5.36
